Row Labels,Sum of Associated,Count of OnTitle,Count of Url,Sum of Image,Sum of OnPage,Sum of Deep
/.net/detect_text_encoding.md,1,10,10,0,0,3
/.net/zipfile.md,1,1,1,0,0,0
/.net_core_MVC/bind_post_to_action.md,0,2,2,0,0,0
/.net_core_MVC/custom_port.md,0,1,1,0,0,0
/.net_core_MVC/form_value_count_limit_1024_exceeded.md,0,2,2,0,0,0
/.net_core_MVC/ip_address.md,2,2,2,0,0,0
/.net_core_MVC/no_authentication_handler.md,0,1,1,0,0,0
/.net_core_MVC/send_email_with_mailkit.md,0,2,2,0,0,0
/.net_core_MVC/specified_framework_not_found.md,1,1,1,0,0,0
/active_directory/get-adgroup.md,1,6,6,0,0,2
/airtable/get_airtable_data.md,0,1,1,0,0,0
/angular/getting_started_deborah_kurata.md,1,4,4,1,0,0
/appharbor/keep_alive.md,0,1,1,0,0,0
/asp.net_mvc/check_your_razor_views_compile_with_MvcBuildViews_true.md,0,2,2,0,0,0
/asp.net_mvc/clear_caches.md,1,1,1,0,0,0
/asp.net_mvc/custom_errors.md,3,4,4,0,0,0
/asp.net_mvc/from_memory.md,3,3,3,0,0,2
/asp.net_mvc/get_user_display_name.md,0,1,1,0,0,0
/asp.net_mvc/helpful_error_page.md,1,1,1,0,0,0
/asp.net_mvc/return_404.md,2,2,2,0,0,0
/asp.net_mvc/select_dropdowns.md,2,3,3,0,0,0
/asp.net_mvc/select_multi_dropdowns.md,1,1,1,0,0,0
/asp.net_mvc/serve_some_static_files_from_mvc_but_not_all.md,0,1,1,0,0,0
/banking/convert_ofx_to_csv.md,0,3,3,0,0,0
/chocolatey/commands.md,1,1,1,0,0,0
/chocolatey/install_chocolatey.md,2,2,2,0,0,0
/chocolatey/specify_checksum_for_chocolatey.md,3,3,3,0,0,0
/chocolatey/update_a_chocolatey_package.md,1,2,2,0,0,0
/concepts/art_of_the_data_email.md,1,1,1,1,0,0
/concepts/coik.md,1,3,3,0,0,0
/concepts/echo_chamber.md,1,6,6,1,0,0
/concepts/follow_up_and_recurring_emails.md,0,1,1,0,0,0
/concepts/getting_unblocked.md,1,2,2,0,0,0
/concepts/greatest_books_in_psychology.md,0,1,1,0,0,0
/concepts/idea_transmission.md,1,4,4,1,0,0
/concepts/list_of_potentially_useful_concepts.md,2,8,8,0,0,0
/concepts/narcissism_of_small_differences.md,0,1,1,0,0,0
/concepts/regression_to_the_mean.md,0,1,1,0,0,0
/concepts/survivorship_bias.md,0,2,2,0,0,0
/concepts/usability.md,0,7,7,0,0,0
/console/cmder.md,5,5,5,5,0,0
/console/settings.md,0,1,1,0,0,0
/cpu_analyzer/getting_started.md,0,2,2,0,0,0
/crypto/spy_codes.md,3,3,3,2,0,0
/csharp/object_to_dynamic.md,3,4,4,0,0,2
/csharp/version4.md,2,4,4,0,0,1
/csharp/version5.md,2,7,7,0,0,1
/csharp/version6.md,15,22,22,0,13,1
/csharp/version7.md,11,13,13,0,11,0
/csharp/version8.md,13,14,14,0,13,0
/css/center.md,0,1,1,0,0,0
/css/css_properties_of_current_page.md,2,2,2,0,0,0
/css/dark_mode_css.md,6,8,8,0,0,0
/css/detect_retina_high_dpi_display.md,0,1,1,0,0,0
/css/maintainable_css.md,0,1,1,0,0,0
/css/refactoring_ui_tools.md,0,15,15,0,0,1
/css/replace_text_with_property_values.md,1,1,1,0,0,0
/css/select_by_attribute.md,2,2,2,0,0,0
/css/wrap_long_words_in_pre.md,0,1,1,0,0,0
/csv/import_csv_to_db.md,16,44,44,1,11,2
/csv/tools.md,0,1,1,0,0,0
/csv/using_sylvan_tools_for_csvz.md,3,4,4,0,0,1
/cypress/getting_started.md,11,14,14,5,0,1
/design/color_resources.md,2,20,20,2,0,2
/design/designs_i_love.md,0,1,1,0,0,0
/digital_gardens/lists_of_digital_gardens.md,1,3,3,0,0,2
/domains/transfer_away_from_godaddy.md,6,9,9,4,0,0
/education/links.md,0,4,4,0,0,0
/electron/getting_started.md,4,6,6,0,0,0
/excel/if_error.md,0,1,1,0,0,0
/firebird/select_top_10.md,2,2,2,0,0,0
/games/launch_indie_games.md,0,9,9,0,0,0
/games/learning_about_games.md,1,4,4,0,0,0
/git/add_more_to_commit.md,0,1,1,0,0,0
/git/alias.md,0,2,2,0,0,0
/git/branch.md,0,1,1,0,0,0
/git/cheatsheet.md,1,1,1,0,0,0
/git/compare_branches.md,0,1,1,0,0,0
/git/get_fork_back_up_to_date.md,0,1,1,0,0,0
/git/git_config.md,0,2,2,0,0,1
/git/git_for_mercurial_users.md,2,4,4,2,0,1
/git/git_timedout_corporate_vpn.md,1,1,1,0,0,0
/git/stash.md,0,1,1,0,0,0
/git/version.md,1,1,1,0,0,0
/gitbook/add_google_analytics_to_gitbook.md,2,2,2,0,0,0
/gitbook/cover_image.md,1,2,2,0,0,0
/gitbook/custom_css.md,0,1,1,0,0,0
/gitbook/getting_started_with_gitbook.md,13,14,14,0,0,0
/gitbook/host_on_custom_subdomain.md,4,4,4,0,0,0
/gitbook/use_gitbook_locally.md,4,4,4,0,0,0
/gitbook/web_hooks.md,3,3,3,0,0,0
/gmail/keyboard_shortcuts.md,1,1,1,0,0,0
/go/install_go_on_windows_bash.md,0,2,2,0,0,0
/google/chrome_create_custom_search_provider.md,0,1,1,0,0,0
/google/chrome_on_startup.md,1,2,2,0,0,0
/google/chrome_reader_mode.md,0,1,1,0,0,0
/google/customsearch_api.md,0,2,2,0,0,1
/google/google_analytics_add_new_site.md,1,1,1,0,0,0
/google/post_to_google_sheets.md,1,1,1,0,0,0
/graphics/bulk_resize_images_with_image_magick.md,1,1,1,0,0,0
/graphics/flowcharts.md,1,2,2,0,0,0
/graphics/icon_edit_online.md,2,4,4,0,0,0
/graphics/paint.net_select_single_pixel.md,0,1,1,0,0,0
/graphics/sankey.md,1,1,1,1,0,0
/graphics/sequence_diagrams.md,1,4,4,1,0,0
/graphics/showcard_gothic.md,1,4,4,1,0,0
/gulp/getting_started.md,3,4,4,0,0,0
/habits/power_of_habits.md,0,1,1,0,0,0
/html/autocomplete_dropdowns.md,0,1,1,0,0,0
/html/emoji_favicon.md,2,4,4,0,0,0
/html/expando_accordian_with_html.md,1,8,8,0,0,0
/html/scraping_files.md,0,1,1,0,0,0
/html/semantic_tips.md,2,28,28,0,0,4
/http/trace.md,0,3,3,0,0,0
/iis/which_version.md,0,1,1,0,0,0
/iis/which_w3wp_process_is_which.md,0,1,1,0,0,0
/javascript/copy_element_to_clipboard.md,0,1,1,0,0,0
/javascript/eval.md,2,2,2,0,0,1
/javascript/generate_guid.md,1,2,2,0,0,0
/javascript/in_2019.md,0,2,2,0,0,0
/javascript/interactive_iframes_and_popups.md,0,1,1,0,0,1
/javascript/javascript_1.7.md,0,1,1,0,0,0
/javascript/poor_mans_jquery.md,1,4,4,0,0,1
/javascript/quickstart.md,5,5,5,0,0,0
/jekyll/getting_started_on_windows.md,0,1,1,0,0,0
/jquery/adhoc_webscraping_with_jquery.md,2,5,5,0,0,0
/jquery/datatables_alert.md,0,1,1,0,0,0
/json/json-query.md,0,21,21,0,0,0
/library/ebooks_and_audiobooks.md,0,1,1,0,0,0
/library/free_ebooks.md,1,8,8,0,0,0
/library/internet_archive_download_tool.md,0,1,1,0,0,1
/library/kanopy.md,0,2,2,0,0,0
/linqpad/clear_results.md,0,1,1,0,0,0
/linqpad/connect_to_oracle.md,5,5,5,5,0,0
/linqpad/csv_to_array.md,8,12,12,0,5,1
/linqpad/datatable_to_csv.md,4,6,6,0,0,0
/linqpad/dump_dynamic.md,2,2,2,0,0,1
/linqpad/group_by.md,1,1,1,1,0,0
/linqpad/inspect_clipboard.md,4,8,8,2,0,0
/linqpad/invoke_linqpad_commandlet.md,3,4,4,0,0,0
/linqpad/run_linqpad_scripts_from_commandline.md,2,2,2,0,0,0
/linqpad/set_breakpoint.md,1,1,1,1,0,0
/linux/apt_get.md,3,6,6,0,0,1
/linux/awk.md,0,1,1,0,0,0
/linux/backup_multiple_remote_folders_with_rsync.md,2,2,2,0,0,0
/linux/backup_remote_folders_with_rsync.md,1,4,4,0,0,0
/linux/bg_fg_background_and_foreground.md,1,1,1,0,0,0
/linux/colored_output_with_bash.md,0,2,2,0,0,0
/linux/count_files_recursively.md,1,2,2,0,0,0
/linux/create_user_with_public_key.md,0,1,1,0,0,0
/linux/cron.md,1,2,2,0,0,0
/linux/delete_files_older_than_90_days.md,3,3,3,0,0,0
/linux/dig.md,1,1,1,0,0,0
/linux/digital_ocean.md,0,19,19,0,0,1
/linux/how_much_memory_is_free.md,1,2,2,0,0,0
/linux/lets_encrypt.md,7,11,11,0,0,0
/linux/ls_when_files_have_leading_dash.md,0,1,1,0,0,0
/linux/nano.md,1,1,1,0,0,0
/linux/nginx.md,2,4,4,0,0,0
/linux/reboot.md,2,4,4,0,0,0
/linux/redirect_www_https.md,3,4,4,0,0,0
/linux/scp.md,0,1,1,0,0,0
/linux/SSH.md,1,1,1,0,0,0
/linux/supervisor.md,4,6,6,0,0,0
/linux/systemd.md,0,1,1,0,0,0
/linux/uncomplicated_firewall.md,1,1,1,0,0,0
/linux/xlsx_to_csv.md,0,1,1,0,0,0
/macbook_air/serial_number.md,0,3,3,0,0,0
/mailgun/blocklist.md,3,3,3,3,0,0
/markdown/links_containing_parens.md,0,5,5,0,0,0
/markdown/syntax.md,23,30,30,1,20,0
/math/eulers_number.md,1,1,1,1,0,0
/math/log.md,1,1,1,0,0,0
/mercurial/branching.md,2,2,2,0,0,0
/mercurial/convert_hg_to_git.md,0,3,3,0,0,1
/mercurial/current_extensions.md,2,2,2,0,0,0
/mercurial/diffmerge_merge.md,1,1,1,0,0,0
/mercurial/ensure_all_files_added.md,3,3,3,0,0,0
/mercurial/EOF_occurred_in_violation_of_protocol.md,0,2,2,0,0,0
/mercurial/handshake_failure.md,0,1,1,0,0,0
/mercurial/merging_failed.md,3,3,3,0,0,0
/mercurial/proxy_connection_attempt_failure.md,1,2,2,0,0,0
/mercurial/push_rainbow.md,1,2,2,1,0,0
/mercurial/rebase.md,5,6,6,5,0,0
/mercurial/rebase_gone_wrong.md,1,1,1,1,0,0
/mercurial/waiting_for_lock.md,0,1,1,0,0,0
/microsoft_terminal/tips.md,1,1,1,0,0,0
/minecraft/mark_jump_in_minecraft.md,4,4,4,0,0,0
/music/4_types_of_basslines.md,0,1,1,0,0,0
/music/7th_chords.md,1,2,2,0,0,0
/music/Ableton.md,0,1,1,0,0,0
/music/background_noise.md,0,6,6,0,0,0
/music/drum_beats.md,0,11,11,0,0,0
/music/guitar_dashboard.md,4,5,5,1,0,0
/music/guitar_finger_names.md,0,1,1,0,0,0
/music/guitar_shapes.md,6,6,6,4,0,0
/music/PC_guitar_effects.md,0,6,6,0,0,0
/music/scales_and_emotions.md,2,3,3,1,0,0
/neo4j/getting-started-on-windows.md,0,5,5,0,0,1
/node/install_node_on_ubuntu_wsl.md,0,1,1,0,0,0
/notepad++/dark_theme_notepad++.md,2,4,4,0,0,0
/notepad++/disable_automatic_parens_completion.md,1,2,2,1,0,0
/notepad++/error_downloading_the_plugin_list.md,2,2,2,0,0,0
/notepad++/expand_collapse.md,2,3,3,0,0,0
/notepad++/install_textfx_plugin.md,2,2,2,0,0,0
/notepad++/markdown_in_notepad.md,3,9,9,0,0,0
/notepad++/navigate_back.md,1,3,3,0,0,0
/notepad++/tell_notepad++_about_a_new_file_type.md,1,1,1,0,0,0
/notepad++/todays_date.md,3,3,3,0,0,0
/npm/getting_started.md,1,1,1,0,0,0
/npm/install_npm.md,4,4,4,0,0,0
/npm/List_Globally_Installed_npm_Packages.md,1,1,1,0,0,0
/npm/node_gyp_dependencies.md,0,1,1,0,0,0
/npm/npx.md,0,1,1,0,0,0
/npm/tab_completion_with_powershell.md,6,9,9,0,0,0
/npm/update_npm.md,0,1,1,0,0,0
/nuget/consolidate_nuget_packages.md,1,1,1,1,0,0
/nuget/nuget_proxy.md,0,2,2,0,0,0
/office/outlook_calendar_celsius_fahrenheit.md,2,2,2,2,0,0
/office/word_templates.md,1,2,2,0,0,0
/oracle/connection_strings.md,1,1,1,0,0,0
/oracle/instant_client.md,2,2,2,0,0,0
/oracle/top_10.md,2,2,2,0,0,0
/pdf/html_to_pdf.md,1,1,1,0,0,0
/pdf/markdown_to_pdf.md,0,3,3,0,0,0
/pdf/pdf_to_epub.md,0,5,5,0,0,1
/powershell/add_property_to_object_along_pipeline.md,7,8,8,0,0,0
/powershell/alias.md,4,4,4,0,0,0
/powershell/avoid_access_is_denied_when_remoting_talking_to_share.md,2,2,2,0,0,0
/powershell/base64_encode_decode.md,0,2,2,0,0,0
/powershell/boot_time.md,0,1,1,0,0,0
/powershell/create_profile.md,1,1,1,0,0,0
/powershell/current_time.md,1,1,1,0,0,0
/powershell/custom_objects.md,3,3,3,0,0,0
/powershell/date_format.md,1,1,1,0,0,0
/powershell/detect_file_encoding.md,3,6,6,0,0,0
/powershell/diff_between_two_dates.md,0,1,1,0,0,0
/powershell/dumb_or_fun_ideas.md,0,6,6,0,0,0
/powershell/emoji_list.md,1,2,2,0,0,0
/powershell/find_headings_in_markdown.md,1,1,1,0,0,0
/powershell/get_aduser.md,1,1,1,0,0,0
/powershell/Get_All_Available_Modules.md,4,4,4,0,0,0
/powershell/get_filehash.md,0,1,1,0,0,0
/powershell/group_objects_in_powershell.md,1,2,2,0,0,0
/powershell/histogram.md,5,5,5,0,0,0
/powershell/how_to_completely_remove_a_module.md,1,1,1,0,0,0
/powershell/how_to_make_a_custom_class.md,2,2,2,0,0,0
/powershell/interactive_remote_script.md,2,2,2,0,0,0
/powershell/is_this_64_or_32_bit_powershell_today.md,3,3,3,0,0,0
/powershell/literal_array.md,0,1,1,0,0,0
/powershell/module_commands.md,5,7,7,0,0,0
/powershell/module_what_is_it.md,1,4,4,0,0,0
/powershell/operation_is_blocked_by_software_restriction_policies.md,2,2,2,0,0,0
/powershell/out-file-encoding.md,3,3,3,0,0,0
/powershell/parsedate_in_powershell.md,1,1,1,0,0,0
/powershell/pass_argument_to_script.md,1,1,1,0,0,0
/powershell/password_complexity.md,2,3,3,0,0,0
/powershell/PATH.md,2,2,2,0,0,0
/powershell/pester_getting_started.md,0,1,1,0,0,0
/powershell/powershell_precedence_of_commands_aliases.md,3,3,3,0,0,0
/powershell/profile_4_different_ones.md,1,1,1,0,0,0
/powershell/prompt.md,1,1,1,0,0,0
/powershell/psget_conflicts_with_PowerShellGet.md,1,1,1,0,0,0
/powershell/publish_module.md,2,6,6,0,0,0
/powershell/remove_package_provider.md,1,1,1,0,0,0
/powershell/rename_photos.md,0,1,1,0,0,0
/powershell/Rename_to_lower_case.md,0,1,1,0,0,0
/powershell/repeat_every_n_seconds_forever.md,1,1,1,0,0,0
/powershell/replace_a_line_in_a_file.md,1,1,1,0,0,0
/powershell/resolve_502_proxy_issue_when_remoting.md,2,2,2,0,0,0
/powershell/runas.md,1,1,1,1,0,0
/powershell/sort.md,0,1,1,0,0,0
/powershell/store_and_use_password_via_securestring.md,0,1,1,0,0,0
/powershell/tokenize_issue.md,2,4,4,1,0,0
/powershell/Transcript.md,1,2,2,0,0,0
/powershell/update_password.md,1,2,2,0,0,0
/powershell/Use_Google_Maps.md,0,1,1,0,0,0
/powershell/Use_Job_To_Measure_Processors.md,0,1,1,0,0,0
/powershell/version.md,2,2,2,0,0,0
/powershell/write-host_alternatives.md,0,4,4,0,0,0
/productivity/general.md,1,1,1,0,0,0
/productivity/taskwarrior.md,1,4,4,0,0,0
/python/blocks_in_minecraft.md,1,1,1,0,0,0
/python/entities_in_minecraft.md,1,1,1,0,0,0
/python/grip.md,0,1,1,0,0,0
/python/pip.md,0,1,1,0,0,0
/python/python_in_minecraft.md,2,6,6,1,0,0
/react/getting_started.md,3,7,7,0,0,1
/react/old_getting_started.md,3,4,4,0,0,0
/reading_notes/Clear_AtomicHabits.md,0,1,1,0,0,0
/reading_notes/Heath_MadeToStick.md,0,1,1,0,0,0
/readme.md,9,15,15,2,0,2
/redis/getting_started.md,0,8,8,0,0,6
/redis/redis_desktop_manager.md,0,1,1,0,0,0
/security_virus_spam_etc/virus_total.md,0,1,1,0,0,0
/sharepoint/convert_internal_name.md,0,1,1,0,0,0
/sharepoint/find_view_guid.md,2,2,2,2,0,0
/sleep/chapter_summary.md,0,2,2,0,0,0
/sleep/sleep_terminology.md,1,1,1,0,0,0
/sparql/basics.md,0,1,1,0,0,0
/speech/copy_voices.md,0,1,1,0,0,0
/sql_server/backup_restore_script.md,3,3,3,0,0,0
/sql_server/collation_find_change_compare.md,1,2,2,1,0,0
/sql_server/compare_environments.md,2,2,2,0,0,0
/sql_server/convert_timestamp_to_varchar.md,0,1,1,0,0,0
/sql_server/Count_Occurrences_of_String.md,0,1,1,0,0,0
/sql_server/create_active_directory_user_on_sql_server.md,2,2,2,0,0,0
/sql_server/Create_Schema_Authorization.md,2,2,2,0,0,0
/sql_server/create_schema_specific_role.md,2,8,8,0,0,0
/sql_server/CsvToHtml_Function_in_SQL.md,6,6,6,0,0,0
/sql_server/ctrl_e_execute.md,1,1,1,1,0,0
/sql_server/datetime_trim_hours_milliseconds.md,1,1,1,0,0,0
/sql_server/delete_backup_files.md,3,4,4,0,0,0
/sql_server/delete_duplicate_rows.md,1,2,2,0,0,0
/sql_server/delete_millions_of_rows.md,4,6,6,0,0,0
/sql_server/drive_sizes.md,3,3,3,0,0,0
/sql_server/find_current_sessions.md,0,1,1,0,0,0
/sql_server/find_large_tables.md,0,1,1,0,0,0
/sql_server/find_missing_indexes_in_sql_server.md,2,5,5,0,0,0
/sql_server/find_open_transactions.md,0,1,1,0,0,0
/sql_server/find_unused_indexes_in_sql_server.md,2,3,3,0,0,0
/sql_server/find_view_function_or_sproc.md,1,1,1,0,0,0
/sql_server/find_whitespace.md,0,3,3,0,0,1
/sql_server/first_day_of_month.md,2,2,2,0,0,0
/sql_server/format_datetime_yyyy-MM-dd.md,3,4,4,0,0,0
/sql_server/format_your_queries.md,0,1,1,0,0,0
/sql_server/generate_change_script.md,1,1,1,1,0,0
/sql_server/histogram.md,1,1,1,0,0,0
/sql_server/how_much_space_does_my_db_use.md,4,5,5,0,0,0
/sql_server/import_csv.md,3,3,3,0,0,0
/sql_server/index_fragmentation_and_nasty_page_splits.md,0,9,9,0,0,1
/sql_server/indexing_for_performance_kimberly_tripp.md,1,6,6,0,0,0
/sql_server/info_message.md,0,1,1,0,0,0
/sql_server/Log_Message_During_LongRunning_Proc.md,0,1,1,0,0,0
/sql_server/merge_for_upsert.md,1,2,2,0,0,0
/sql_server/mismatch_between_estimated_and_actual.md,0,2,2,0,0,0
/sql_server/parse_varchar_into_datetime.md,1,1,1,0,0,0
/sql_server/R_Services_and_Regex.md,0,3,3,0,0,0
/sql_server/run_a_command_against_each_table.md,0,4,4,0,0,0
/sql_server/see_wait_times.md,0,1,1,0,0,0
/sql_server/split_string.md,5,5,5,0,0,0
/sql_server/SSMS_Dark_Mode.md,2,4,4,1,0,0
/sql_server/start_time.md,0,1,1,0,0,0
/sql_server/table_to_csv.md,3,3,3,0,0,0
/sql_server/update_millions_of_rows.md,5,5,5,0,0,0
/sql_server/windowed_functions.md,2,5,5,1,0,0
/sql_server/xtype.md,0,1,1,0,0,0
/sql_spatial/getfieldtype_returned_null.md,0,1,1,0,0,0
/sql_spatial/spatial_index_temp_table_trick.md,0,3,3,0,0,0
/sqlite/select_top_10.md,2,2,2,0,0,0
/svg/drawsquare.md,2,2,2,0,0,0
/svg/svg-to-favicon.md,3,4,4,0,0,0
/svg/svg-to-ico-file.md,4,5,5,0,0,0
/tcl/bluetooth_windows_problem.md,0,8,8,0,0,0
/tools/list_of_tools.md,1,2,2,0,0,0
/tools/utils_repo.md,2,3,3,0,0,0
/trello/getting-started-with-manatee-trello.md,0,2,2,0,0,0
/tutorials/four_in_a_row.md,1,3,3,1,0,0
/twitter/Stop_Automatic_Conversion_To_URLs.md,0,1,1,0,0,0
/typescript/getting_started.md,7,7,7,1,0,0
/usql/basics.md,1,4,4,1,0,0
/ux/resources.md,1,12,12,0,0,0
/virtual_box/virtual_box_requires_hyper_v_disabled.md,3,3,3,0,0,0
/virtual_box/virtual_box_warning.md,1,1,1,1,0,0
/vs_code/getting_started_making_vscode_extensions.md,0,2,2,0,0,0
/vs_code/keystrokes_expand_collapse.md,1,2,2,0,0,0
/vs_code/navigate_back.md,1,1,1,0,0,0
/vs_code/remove_trailing_whitespace.md,0,1,1,0,0,0
/windows.forms/custom_toolstrip_renderer.md,2,4,4,2,0,0
/windows.forms/single_instance.md,0,3,3,0,0,0
/windows.forms/using_dark_theme.md,3,3,3,0,0,0
/windows/bash_on_windows.md,4,11,11,0,0,1
/windows/environment_variables.md,4,4,4,0,3,0
/windows/mstsc_black_screen.md,0,2,2,0,0,0
/windows/mstsc_without_mouse.md,0,1,1,0,0,0
/windows/program_associated.md,1,1,1,1,0,0
/windows/publish_on_windows_store.md,0,8,8,0,0,3
/windows/remove_unreachable_recyclebin_crap.md,1,2,2,0,0,0
/windows/screenshot_with_mouse_cursor.md,1,2,2,1,0,0
/windows/Turn_off_bing_search_results_from_Start_Menu.md,0,1,1,0,0,0
/windows/which_version.md,2,2,2,1,0,0
/windows/windows_store_apps_update.md,0,1,1,0,0,0
/winword/save_word_as_template.md,1,1,1,0,0,0
/wordle/tips.md,0,2,2,0,0,0
/writing/50_writing_tools.md,0,2,2,0,0,0
/writing/amateur_mistakes.md,4,10,10,4,0,0
/yarn/install-yarn-on-windows-2020.md,3,3,3,0,0,0
/zettel/items_to_index.md,2,36,36,0,0,2
/zoho/domain.md,2,3,3,2,0,0
